--------- beginning of main
08-30 15:01:48.851 16566 16585 I jolt_raylib_gallery_state: {:frame 99, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [40 40]}, :touches {:count 1, :ids [0], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 6, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:48.881 16566 16585 I jolt_raylib_gallery_state: {:frame 100, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [40 40]}, :touches {:count 0, :ids [], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 6, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:49.181 16566 16585 I jolt_raylib_gallery_state: {:frame 109, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [796 1215]}, :touches {:count 1, :ids [0], :point-0 [796 1215], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :virtual-controls, :scene-frame 0, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 7, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:49.215 16566 16585 I jolt_raylib_gallery_state: {:frame 110, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [796 1215]}, :touches {:count 0, :ids [], :point-0 [796 1215], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :virtual-controls, :scene-frame 1, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 7, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:49.448 16566 16585 I jolt_raylib_gallery_state: {:frame 117, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [40 40]}, :touches {:count 1, :ids [0], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 8, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:49.482 16566 16585 I jolt_raylib_gallery_state: {:frame 118, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [40 40]}, :touches {:count 0, :ids [], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 8, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:49.782 16566 16585 I jolt_raylib_gallery_state: {:frame 127, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [283 1907]}, :touches {:count 1, :ids [0], :point-0 [283 1907], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :touch-diagnostics, :scene-frame 0, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 9, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:49.814 16566 16585 I jolt_raylib_gallery_state: {:frame 128, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [283 1907]}, :touches {:count 0, :ids [], :point-0 [283 1907], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :touch-diagnostics, :scene-frame 1, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 9, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:50.051 16566 16585 I jolt_raylib_gallery_state: {:frame 135, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [40 40]}, :touches {:count 1, :ids [0], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 10, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:50.081 16566 16585 I jolt_raylib_gallery_state: {:frame 136, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [40 40]}, :touches {:count 0, :ids [], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 10, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:50.381 16566 16585 I jolt_raylib_gallery_state: {:frame 145, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [796 1907]}, :touches {:count 1, :ids [0], :point-0 [796 1907], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :gesture-diagnostics, :scene-frame 0, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 11, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:50.415 16566 16585 I jolt_raylib_gallery_state: {:frame 146, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [796 1907]}, :touches {:count 0, :ids [], :point-0 [796 1907], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :gesture-diagnostics, :scene-frame 1, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 11, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:50.547 16566 16585 I jolt_raylib_gallery_state: {:frame 150, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :idle, :position nil}, :touches {:count 0, :ids [], :point-0 nil, :available-coordinates :none, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :gesture-diagnostics, :scene-frame 5, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 11, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:50.683 16566 16585 I jolt_raylib_gallery_state: {:frame 154, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [40 40]}, :touches {:count 1, :ids [0], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 12, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:50.714 16566 16585 I jolt_raylib_gallery_state: {:frame 155, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [40 40]}, :touches {:count 0, :ids [], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 12, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:51.015 16566 16585 I jolt_raylib_gallery_state: {:frame 164, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :idle, :position nil}, :touches {:count 0, :ids [], :point-0 nil, :available-coordinates :none, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 12, :hold-frames 0, :drag-samples 0, :close-requested? true}
